method,hidden_size,lr,gamma,eps_start,win_rate,best_episode,best_dones,avg_reward,loss,q_step
DQN,256,0.001,0.9,1,0.987,44,1000,-130,24035942,-786.7664185
DQN,256,0.001,0.9,0.8,0.115,499,990,-8850,7429995,-326.8150635
DQN,256,0.001,0.9,0.5,0.042,441,954,-9580,8409019,344.732605
DQN,256,0.001,0.99,1,0,374,1000,-10000,8577108,5293.259766
DQN,256,0.001,0.99,0.8,1,257,1000,0,2078726.625,7717.680664
DQN,256,0.001,0.99,0.5,1,178,1000,0,10030227,7091.875977
DQN,256,0.0001,0.9,1,0.009,28,1000,-9910,31225286,-1254.275146
DQN,256,0.0001,0.9,0.8,0.324,33,1000,-6770,30087188,-1211.920776
DQN,256,0.0001,0.9,0.5,0.171,324,715,-8290,42532600,-881.3963623
DQN,256,0.0001,0.99,1,0,353,743,-10000,11764785,-4141.98584
DQN,256,0.0001,0.99,0.8,0.925,375,937,-750,18652096,-2407.151611
DQN,256,0.0001,0.99,0.5,0.733,497,955,-2660,6749397.5,6657.053711
DQN,512,0.001,0.9,1,1,404,1000,0,4546430,3569.511475
DQN,512,0.001,0.9,0.8,0.053,493,964,-9470,16321419,-577.399231
DQN,512,0.001,0.9,0.5,0.995,417,1000,-50,2164443.5,3995.849121
DQN,512,0.001,0.99,1,1,259,1000,0,2342331.75,7443.323242
DQN,512,0.001,0.99,0.8,1,197,1000,0,8306119.5,4608.347168
DQN,512,0.001,0.99,0.5,0.03,181,1000,-9690,1708519.125,7621.500488
DQN,512,0.0001,0.9,1,0.403,41,1000,-5990,32119184,-1251.44165
DQN,512,0.0001,0.9,0.8,0.227,46,920,-7760,24237154,-1108.121094
DQN,512,0.0001,0.9,0.5,0.112,33,882,-8890,23551504,-1118.501343
DQN,512,0.0001,0.99,1,0.014,30,736,-9860,10707765,-5260.234863
DQN,512,0.0001,0.99,0.8,1,433,1000,0,14180336,7158.443359
DQN,512,0.0001,0.99,0.5,0.17,129,625,-8310,8532334,-855.2000732
TargetNetwork,256,0.001,0.9,1,1,312,1000,0,12210833,3793.829834
TargetNetwork,256,0.001,0.9,0.8,1,333,1000,0,10719967,3606.297852
TargetNetwork,256,0.001,0.9,0.5,0.051,29,603,-9490,26203690,-166.5273895
TargetNetwork,256,0.001,0.99,1,1,174,1000,0,15189545,7121.949707
TargetNetwork,256,0.001,0.99,0.8,1,288,1000,0,14735515,6244.032715
TargetNetwork,256,0.001,0.99,0.5,1,481,1000,0,7323422.5,7309.511719
TargetNetwork,256,0.0001,0.9,1,0.019,41,922,-9810,29113264,-143.4341736
TargetNetwork,256,0.0001,0.9,0.8,0.023,173,935,-9770,36930592,-147.3547821
TargetNetwork,256,0.0001,0.9,0.5,0.025,102,1000,-9750,38872812,-160.4674072
TargetNetwork,256,0.0001,0.99,1,0.003,27,378,-9970,25732516,-1322.65564
TargetNetwork,256,0.0001,0.99,0.8,0,35,266,-10000,18097576,-1318.79187
TargetNetwork,256,0.0001,0.99,0.5,0.021,205,707,-9790,20555692,-638.112854
TargetNetwork,512,0.001,0.9,1,1,224,1000,0,21838710,3133.207764
TargetNetwork,512,0.001,0.9,0.8,1,335,1000,0,8756962,3891.601807
TargetNetwork,512,0.001,0.9,0.5,0.631,483,682,-3680,23161442,-11.06005383
TargetNetwork,512,0.001,0.99,1,1,162,1000,0,20004288,7219.425781
TargetNetwork,512,0.001,0.99,0.8,1,94,1000,0,17494060,6114.585449
TargetNetwork,512,0.001,0.99,0.5,1,124,1000,0,12819155,6709.368164
TargetNetwork,512,0.0001,0.9,1,0.006,46,830,-9940,25243338,-101.2555695
TargetNetwork,512,0.0001,0.9,0.8,0.022,80,802,-9780,25421208,-151.9586182
TargetNetwork,512,0.0001,0.9,0.5,0.115,36,947,-8850,26183810,-156.4701843
TargetNetwork,512,0.0001,0.99,1,0,28,617,-10000,22347624,-1127.833862
TargetNetwork,512,0.0001,0.99,0.8,0.011,35,468,-9890,17002360,-1077.714355
TargetNetwork,512,0.0001,0.99,0.5,0.018,37,903,-9820,26250076,-798.0617676
DDQN,256,0.001,0.9,1,1,245,1000,0,14873682,3271.526367
DDQN,256,0.001,0.9,0.8,1,215,1000,0,28020462,2325.412598
DDQN,256,0.001,0.9,0.5,0.989,473,1000,-110,5157880.5,3946.320068
DDQN,256,0.001,0.99,1,1,185,1000,0,16965406,6043.44873
DDQN,256,0.001,0.99,0.8,1,129,1000,0,18415472,5516.588867
DDQN,256,0.001,0.99,0.5,1,253,1000,0,15840171,7333.18457
DDQN,256,0.0001,0.9,1,0.017,53,852,-9830,27453280,-124.0937271
DDQN,256,0.0001,0.9,0.8,0.011,155,1000,-9890,22849906,-170.7927856
DDQN,256,0.0001,0.9,0.5,0.018,107,1000,-9820,32784594,-155.5389404
DDQN,256,0.0001,0.99,1,0,39,328,-10000,21263018,-1415.999634
DDQN,256,0.0001,0.99,0.8,0.035,26,365,-9650,19274516,-1274.845581
DDQN,256,0.0001,0.99,0.5,0.035,156,749,-9650,24424214,-420.5474243
DDQN,512,0.001,0.9,1,0.991,270,1000,-90,14161487,3634.895264
DDQN,512,0.001,0.9,0.8,1,250,1000,0,15151142,3764.641602
DDQN,512,0.001,0.9,0.5,0.826,480,883,-1740,4878736,789.8752441
DDQN,512,0.001,0.99,1,1,101,1000,0,22431182,4119.001465
DDQN,512,0.001,0.99,0.8,1,107,1000,0,13977790,7215.915039
DDQN,512,0.001,0.99,0.5,1,157,1000,0,8232244,8102.604004
DDQN,512,0.0001,0.9,1,0.275,39,867,-7250,35166608,-139.1665802
DDQN,512,0.0001,0.9,0.8,0.017,86,698,-9820,27821788,-124.8040466
DDQN,512,0.0001,0.9,0.5,0.002,75,895,-9980,25326408,-130.9659576
DDQN,512,0.0001,0.99,1,0,26,105,-10000,28365432,-1373.545044
DDQN,512,0.0001,0.99,0.8,1,290,1000,0,29926130,5529.61084
DDQN,512,0.0001,0.99,0.5,1,305,1000,0,47283352,6504.888672
