policy,alpha,gamma,epsilon,dec_rate,epochs,best,epochs_to_done,epochs_to_best
epsgreedy,0.2,0.9,0.9,0.75,335.3,17.8,62.1,116.0
epsgreedy,0.2,0.9,0.9,0.9,328.8,17.2,60.0,119.0
epsgreedy,0.2,0.9,0.9,0.99,314.6,16.0,40.9,100.8
epsgreedy,0.2,0.99,0.9,0.75,794.0,18.0,509.8,334.0
epsgreedy,0.2,0.99,0.9,0.9,915.8,17.5,597.5,1621.0
epsgreedy,0.2,0.99,0.9,0.99,406.8,16.3,102.7,157.57142857142858
epsgreedy,0.5,0.9,0.9,0.75,125.6,17.4,28.6,48.0
epsgreedy,0.5,0.9,0.9,0.9,111.8,17.0,15.3,31.333333333333332
epsgreedy,0.5,0.9,0.9,0.99,139.1,16.0,31.8,97.1
epsgreedy,0.5,0.99,0.9,0.75,259.0,18.2,157.7,186.0
epsgreedy,0.5,0.99,0.9,0.9,262.5,17.0,160.4,212.5
epsgreedy,0.5,0.99,0.9,0.99,176.0,16.0,49.7,114.2
epsgreedy,0.7,0.9,0.9,0.75,79.2,17.1,17.7,55.5
epsgreedy,0.7,0.9,0.9,0.9,78.9,16.4,16.1,29.0
epsgreedy,0.7,0.9,0.9,0.99,111.0,16.3,26.1,93.375
epsgreedy,0.7,0.99,0.9,0.75,193.2,17.5,123.1,144.5
epsgreedy,0.7,0.99,0.9,0.9,178.7,18.0,111.7,None
epsgreedy,0.7,0.99,0.9,0.99,133.6,16.1,44.3,111.44444444444444
epsgreedy,0.9,0.9,0.9,0.75,53.8,17.3,15.2,41.5
epsgreedy,0.9,0.9,0.9,0.9,51.8,16.8,12.0,26.5
epsgreedy,0.9,0.9,0.9,0.99,81.3,17.5,22.1,75.0
epsgreedy,0.9,0.99,0.9,0.75,147.6,18.6,106.5,189.0
epsgreedy,0.9,0.99,0.9,0.9,158.9,18.2,108.4,72.0
epsgreedy,0.9,0.99,0.9,0.99,113.6,16.5,46.8,111.57142857142857
bellman,0.2,0.9,0.9,0.75,666.9,16.2,82.7,224.375
bellman,0.2,0.9,0.9,0.9,682.3,16.2,130.0,247.75
bellman,0.2,0.9,0.9,0.99,625.0,16.7,107.9,205.4
bellman,0.2,0.99,0.9,0.75,1371.1,16.6,498.0,556.5
bellman,0.2,0.99,0.9,0.9,1876.7,17.5,406.9,546.0
bellman,0.2,0.99,0.9,0.99,1347.3,17.2,419.0,726.5
bellman,0.5,0.9,0.9,0.75,288.4,17.4,79.7,148.0
bellman,0.5,0.9,0.9,0.9,293.6,17.2,80.9,121.66666666666667
bellman,0.5,0.9,0.9,0.99,252.3,16.5,50.8,114.5
bellman,0.5,0.99,0.9,0.75,617.4,17.2,273.6,620.0
bellman,0.5,0.99,0.9,0.9,550.0,17.4,96.3,278.0
bellman,0.5,0.99,0.9,0.99,810.4,17.1,432.6,533.8
bellman,0.7,0.9,0.9,0.75,205.5,17.6,48.7,58.0
bellman,0.7,0.9,0.9,0.9,192.4,18.0,44.1,83.0
bellman,0.7,0.9,0.9,0.99,196.4,17.6,56.2,122.0
bellman,0.7,0.99,0.9,0.75,453.4,17.4,222.3,382.0
bellman,0.7,0.99,0.9,0.9,415.8,17.22222222222222,157.0,175.33333333333334
bellman,0.7,0.99,0.9,0.99,612.3,17.9,228.0,300.5
bellman,0.9,0.9,0.9,0.75,149.4,17.4,50.2,107.5
bellman,0.9,0.9,0.9,0.9,129.1,17.2,39.3,53.0
bellman,0.9,0.9,0.9,0.99,126.0,17.4,37.3,86.33333333333333
bellman,0.9,0.99,0.9,0.75,272.0,23.714285714285715,85.28571428571429,None
bellman,0.9,0.99,0.9,0.9,258.2,36.75,97.25,None
bellman,0.9,0.99,0.9,0.99,266.4,24.88888888888889,128.11111111111111,185.0
