method,hidden_size,lr,gamma,eps_start,win_rate,best_episode,best_dones,avg_reward,loss,q_step
DQN,128,0.01,0.4,1.0,0.939,405,960,-610,37648256.0,-34.87956619262695
DQN,128,0.01,0.99,1.0,0.385,30,1000,-6150,8858633.0,-4922.08203125
DQN,256,0.001,0.9,1.0,0.987,44,1000,-130,24035942.0,-786.7664184570312
DQN,256,0.001,0.9,0.8,0.115,499,990,-8850,7429995.0,-326.8150634765625
DQN,256,0.001,0.9,0.5,0.042,441,954,-9580,8409019.0,344.73260498046875
DQN,256,0.001,0.99,1.0,0,374,1000,-10000,8577108.0,5293.259765625
DQN,256,0.001,0.99,0.8,1,257,1000,0,2078726.625,7717.6806640625
DQN,256,0.001,0.99,0.5,1,178,1000,0,10030227.0,7091.8759765625
DQN,256,0.0001,0.9,1.0,0.009,28,1000,-9910,31225286.0,-1254.275146484375
DQN,256,0.0001,0.9,0.8,0.324,33,1000,-6770,30087188.0,-1211.9207763671875
method,hidden_size,lr,gamma,eps_start,win_rate,best_episode,best_dones,avg_reward,loss,q_step
DQN,256,0.0001,0.9,0.5,0.171,324,715,-8290,42532600.0,-881.3963623046875
DQN,256,0.0001,0.99,1.0,0,353,743,-10000,11764785.0,-4141.98583984375
DQN,256,0.0001,0.99,0.8,0.925,375,937,-750,18652096.0,-2407.151611328125
DQN,256,0.0001,0.99,0.5,0.733,497,955,-2660,6749397.5,6657.0537109375
DQN,512,0.001,0.9,1.0,1,404,1000,0,4546430.0,3569.511474609375
DQN,512,0.001,0.9,0.8,0.053,493,964,-9470,16321419.0,-577.3992309570312
DQN,512,0.001,0.9,0.5,0.995,417,1000,-50,2164443.5,3995.84912109375
DQN,512,0.001,0.99,1.0,1,259,1000,0,2342331.75,7443.3232421875
DQN,512,0.001,0.99,0.8,1,197,1000,0,8306119.5,4608.34716796875
DQN,512,0.001,0.99,0.5,0.03,181,1000,-9690,1708519.125,7621.50048828125
DQN,512,0.0001,0.9,1.0,0.403,41,1000,-5990,32119184.0,-1251.441650390625
DQN,512,0.0001,0.9,0.8,0.227,46,920,-7760,24237154.0,-1108.12109375
DQN,512,0.0001,0.9,0.5,0.112,33,882,-8890,23551504.0,-1118.5013427734375
DQN,512,0.0001,0.99,1.0,0.014,30,736,-9860,10707765.0,-5260.23486328125
DQN,512,0.0001,0.99,0.8,1,433,1000,0,14180336.0,7158.443359375
